날짜,요일,시간,,토론,긍부정여부,예측한 날,2,1
2020년 9월 7일 월요일,월요일,8,57,★★★카카오 큰 그림 보고 가면 됩니다.★★★,0,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,8,52,카카오게임즈 상장,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,8,49,솔직해지자,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,8,42,플랫폼은 역시 네이버,0,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,7,46,미국 폭락,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,7,17,카카오 홧팅,0,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,7,6,아마존이 카카오를 절대 못 이기는 이유,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,6,34,좌파기업들 카카오 한걸레 금호 sm 부영 하림 부도덕 기업집단체들,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,4,10,네이버 찍힌듯 ㅋ,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,0,39,27만일때 많이 못산게 아쉽다,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,0,32,주식대주주 내국인역차별 논란,1,2020년 9월 7일 월요일,,
2020년 9월 7일 월요일,월요일,0,16,형아들....질문좀하께...,0,2020년 9월 7일 월요일,,
2020년 9월 8일 화요일,화요일,23,55,월봉보면 떨어지는게 맞네,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,50,내일 카카오,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,32,넷플릭스 플러스전환입니다.,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,27,[톱뉴스]코로나19 항체 치료제 이달 대량 생산,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,11,현 시간 기준 미증시,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,4,이러면 네마녀에날 폭등인가?,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,2,카겜 시초가가 따상이 아닐 가능성?,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,23,1,나스닥 오르는중,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,57,카카오 들어오라고 하는 민주당 국회의원,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,52,낼 아침 38만 찍고 바로 반등 추매 준비 하세요,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,44,테슬라 -20프로 ㅋㅋㅋㅋㅋㅋ,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,34,◆이탈리아 독일 프랑스 나스닥 떡실신예언◆-아레스주식TV,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,28,ㅅㄱ,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,11,파동상 하락조정끝. 내일부터 상승,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,11,삼고빔,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,22,0,엘리어트 파동 이론,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,52,나스닥 꼬라박는것보다,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,48,언택주에서 테슬라 거리는넘은,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,44,돌대가리 안티들 더 짓어라,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,44,응안팔아,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,37,내일 기대되네,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,20,네마녀의 날 이브전에 탈출했는데,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,21,5,대한국민,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,20,53,유럽도 작살 미국도 작살,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,20,47,미쿡,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,20,30,좌파정권의 개..화이트리스트 농단 좌카오좌음,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,20,25,**허허 형이다,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,20,18,미운털,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,44,나스닥 선물 -2.5프로 .. 미챠 미챠 ...,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,37,조정 마무리되감,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,27,개카오는 낼 -7%,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,27,구글퇴출ㅋㅋ,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,19,이바닥하루이틀이냐 ?,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,19,19,내리면 나야 고맙지,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,18,33,3/19 128900원에 2주매입 이제 매도타임 도래,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,18,20,니네 욕하면 계속 쓴다 ...머리 한계에 부딪혔냐?,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,18,18,낼까지,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,18,17,안티들 판치는게 낼 오르네요 ㅋㅋ,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,17,57,카카오 삼성전자등 우량주면 사면 주식으로 돈버는줄아는 사람들...,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,17,44,개미가 떠받치는 고평가성장주,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,16,43,카카오가,1,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,16,36,손절하고 털기 잘했네,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,16,31,세력들 삼전으로다갔는데 니들 여기서 뭐하냐?,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,16,10,즐거운 주식,0,2020년 9월 9일 수요일,,
2020년 9월 8일 화요일,화요일,8,54,오늘 다시 오르네.,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,53,오늘 올인한다. 카카오 마지막 바겐세일^^,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,51,이거살바에 현대차 2주산다,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,24,기간조정만 있다,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,23,오늘이 마지막 빨리 타세요.,0,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,15,오늘은 어떻게 보십니까,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,8,7,증시일정 (9월~,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,7,59,결국 오를 수 밖에 없다~~,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,7,47,금 몇일간의 매수흐름 시그널이 뭘까,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,7,38,특권과 반칙이 상식으로 통하는 나라,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,7,31,증시 대하락이 시작되었음이 확인되었다.,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,7,24,초절정고수,0,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,4,24,테슬라 잡주냐 아니냐?,0,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,4,17,카카오 1호 데이터센터 건립,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,3,55,카카오 팔고튀어,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,3,31,카카오 내일 매수 들어오세요~,0,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,1,41,손정의 나스닥,1,2020년 9월 8일 화요일,,
2020년 9월 8일 화요일,화요일,0,23,고평가 고평가~~,0,2020년 9월 8일 화요일,,
2020년 9월 9일 수요일,수요일,23,40,아마존 3.74%,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,37,●내일6%상승=전고점 터치할듯,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,35,나스닥중 카카오에 가장 영향을주는 종목은?,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,30,웃긴게,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,24,떨어질거 기다리는 애들,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,18,미증시,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,4,육계장드실분,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,23,1,낼 ~부터는 ㅡ 폭등,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,47,테슬라 +10% 아마존 +2%,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,42,변종공매도 시세조종 수사청원 드립니다.,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,40,미국 주식도,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,26,테슬라 는 액분하고,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,20,주식은 말입니다.,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,9,카카오 35층까지 갈듯 ㅠㅠ,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,22,3,존버,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,21,35,●●●●●카카오 주주님들 필독 67●●●●●,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,20,45,까까오 ㅎ,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,20,44,크...카카오 보험도 준비중이네,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,20,38,쯔억ㅉ으어엉,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,20,14,일개미들의 무덤,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,19,42,내일도,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,19,16,sk처럼 폭락,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,19,13,이제 가자,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,19,11,내일 폭등이다,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,19,10,나스닥 FANG 장전 플러스,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,52,게임상장후,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,50,카카오 게임 상장 다음 타자는 카카오페이지,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,48,안티 알바가 판치네,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,42,윤영찬 카카오로,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,36,지금이라도 빼라 안늦었다 진짜,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,32,낼 본주 쳐맞는다. 확실하다.,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,23,시외폭등해서,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,22,3일전,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,16,낼부터는 카카오 안보고 있어도 되겠죠?,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,14,낼,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,11,시외 강력한건,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,3,6천원 내리고..,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,2,ㅋ ㅋ ㅋ 카 하 하 하,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,1,평단 40만이상은 2년존버해야할듯,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,18,0,내일 선물옵션 만기일 종가에 무조건 담자,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,55,시간외 매수해 후회한다■나스닥선물폭둥■,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,54,낼,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,53,내일은..,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,52,동학개미들 덕분에,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,51,시간외,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,46,시외 얼마졍~?,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,46,카카오가 시간외 이렇게많이올라간거,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,45,안티들없노ㅋㅋㅋ,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,44,미국 기술주들 프리마켓에서 개떡상중,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,41,환장들 하는구만,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,27,벌써 5일간하락이네,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,25,고고고,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,18,시간외 매수해 후회한다■나스닥선물폭둥■,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,17,시간외,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,13,이러다 진짜,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,12,시외단일가로 무조건 담아라,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,8,카카오가 왜 재료소멸이냐 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,8,시간외384000->389000+5000,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,7,카카오 상한간적한번도 없지않나요 ?,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,17,3,오늘 시외40찍는거 아닌가,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,58,종가에,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,57,시외,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,53,장중에들 사시지,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,50,**속보** 미선 나스닥 떡상중 +1.55,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,46,바이오팜때?지,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,45,나스닥 지수 선물 폭등중임,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,45,시외떡상~~!!,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,43,시간외386000 +2000,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,41,내일은 나아질듯합니다.,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,41,카카오 주주님들..,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,38,그래도,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,32,평단401이에요,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,25,쏘니 플레이스테이션 4,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,21,내일이 진짜 기대됨,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,5,쫄리면 털고 나가라!,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,5,카카오 진짜 선방했다,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,4,종목 들고있지도 않은놈들이,1,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,16,1,2~3만뮌만 올라도 먼 매번 조정이냐 다시원래로 되고 참,0,2020년 9월 10일 목요일,,
2020년 9월 9일 수요일,수요일,8,57,하한가나 쳐맞어,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,57,오르면,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,55,미선 나스닥 -0.07,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,53,상승추세가 무너질것 같아요,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,42,오늘 매수하는 놈이,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,38,주식,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,34,이런날 카카오가 오른다면...,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,32,오늘 오를거같은데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,29,일단 오늘만~~~,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,21,테슬라 -22퍼니 얘는 하한가,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,8,1,외국인이랑 기관이,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,57,내년까지안판다,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,57,카카오겜,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,51,증시일정 (9월~,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,49,공포는 주식의 적,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,47,40만원 밑으로 이젠 안온다매.........,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,44,오늘 무조건 오른다!!!!!,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,42,많이 간만큼 죽을준비하자,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,7,21,탈출 1순위 테마,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,6,36,구글이랑 척졌냐 카오?ㅋ,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,6,29,오늘 대참사 나것다 카카오,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,6,22,오늘은 방탄소년단 빌보드 핫100 2주 연속 1위 해서 넷마블이 오르겠네,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,6,22,테슬라 =카카오,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,56,생각을 합니다.(개미지옥 대한민국),0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,55,시초가36만,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,53,키득키득ㅋ 40만원 넘자마자 계속 팔아재꼈는데 ㅋ,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,19,키득키득ㅋ 40만원 넘자마자 계속 팔아재꼈는데 ㅋ,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,13,기술주 언택트주 대폭락,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,5,1,오늘 개폭락하겠네,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,59,와우 테슬라 -22프로까지 갔네 ㅋㅋㅋ,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,53,카카오 드디어 꺾이나..? 30만원부터 잡으신 분들,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,48,월가 저짓거리 보면서 지정공매도를 논의해?,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,13,기술주 언택트주 대폭락,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,10,터무니 없이 오른주식 카카오,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,4,0,"카카오 총수, 청기와 버럭콜 받음요ㅋㅋ",1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,3,33,테슬라 -20프로 종가 찍것네,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,3,23,카카오 주가가 오를수 있을까요?,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,2,13,[동학개미가 삼전을좋아한다지? 언제부터 개인투자자들이],1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,1,48,2억 지르세요,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,1,2,7월10~22 이때도 버?는데 까이꺼 존버,0,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,0,15,35만,1,2020년 9월 9일 수요일,,
2020년 9월 9일 수요일,수요일,0,6,카카오 팔아 삼전 사라,0,2020년 9월 9일 수요일,,
2020년 9월 10일 목요일,목요일,23,35,미국 텔레비젼에 415선거부정의혹 보도나왔다,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,23,0,미국장은 +가 녹색 -가 빨간색인거 모르냐?,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,53,나스닥 못 오르고 흘러내리네,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,48,이제끝물,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,43,카카오모빌리티 '배차 몰아주기' 의혹…공정위 나설까,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,39,아마존 테슬라 급등,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,19,카카오 들어오라고 하더니,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,22,7,나스닥 오늘도,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,20,57,선물지수,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,20,48,"결국, 카카오 그룹 지분은 ..",0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,20,3,나스닥9500선,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,19,16,이거 진짜냐? 내일.. 장난아니겠구먼..,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,19,10,꼴 좋다. .니들은 다 물렸다 ㅋㅋ,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,19,7,나스닥 날라간다ㅋㅋㅋ,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,18,5,응안팔아,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,17,19,꼴 좋다. .니들은 다 물렸다 ㅋㅋ,0,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,17,17,이제 슬슬 시동걸어보자 갓카오,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,16,58,조정은 어제부로 끝이엿군,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,16,33,카카오가 아시아나,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,16,27,챠트 그림이,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,16,0,여긴 대주주 엄청나겠다.,1,2020년 9월 11일 금요일,,
2020년 9월 10일 목요일,목요일,8,52,카겜 딱봐도 며칠 올랐다 꺼지는 주식이지,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,52,장시작하자마자 점하,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,51,오늘,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,48,카,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,46,카카오 겁나 누르네..,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,45,시초가40만원~,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,45,다우 떡상 카카오겜 상장 복 무지 만치요,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,44,ㅋㅋㅋㅋ,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,42,일단 단기 재료소멸,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,41,미친 게임즈에 지금 2조 매수대기,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,37,떡락 3분전,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,31,키드 데뷔하는 날,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,24,근데 게임즈 공모 몇주씩 받으셨어요?,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,18,시초가 결정 방식 아시는 분,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,13,카겜 종토방은 어디에?,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,8,오늘 카카오 개떡상 예정.,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,7,1시간후 시뮬레이션,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,5,이런 지능 낮은 멸치같은애들덕분에,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,4,카카오 게임즈 상가는거 맞아요.,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,8,1,카카오 게임즈 상한가 못가는 이유,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,7,38,오늘 즐겨~,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,7,32,오늘 카카오게임즈 ㅡ15프로시작하자,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,7,22,카카오게임즈때문에,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,6,46,어제판 흑우있노,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,6,15,나 어제 담보대출받아 몰빵했다 물론단타!,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,6,0,오늘,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,5,25,챠트가 무거워서,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,2,41,"오늘의 이슈 ""전국민 무료 독감백신 접종 """,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,2,8,카카오,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,1,0,경축,0,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,0,16,카카오 25주 평단315000 가지고있습니다,1,2020년 9월 10일 목요일,,
2020년 9월 10일 목요일,목요일,0,5,마녀의날은 요즘 선반영이고,1,2020년 9월 10일 목요일,,
2020년 9월 11일 금요일,금요일,23,16,나스닥,1,2020년 9월 14일 월요일,,
2020년 9월 11일 금요일,금요일,22,56,청원동의,0,2020년 9월 14일 월요일,,
2020년 9월 11일 금요일,금요일,22,24,돌대가리 안티들 봐라,0,2020년 9월 14일 월요일,,
2020년 9월 11일 금요일,금요일,22,1,마지막탈출기회는주겠죠?,1,2020년 9월 14일 월요일,,
